,Espn_id,War_salary_prediction
0,30836,25762778
1,28963,18971524
2,5883,-1
3,30145,-1
4,28958,-1
5,5544,15433754
6,32080,-1
7,6341,-1
8,28487,-1
9,4574,19287396
10,6194,13633282
11,29551,14580899
12,32055,-1
13,28670,16792005
14,30583,14959946
15,6204,16886767
16,30209,8674087
17,31065,-1
18,29563,17234226
19,5378,13412172
20,6195,-1
21,28955,-1
22,6216,-1
23,5405,-1
24,30112,14549312
25,28976,15623278
26,5986,9558530
27,29646,7189488
28,33150,10474559
29,28637,10916781
30,30951,14454550
31,30993,8263453
32,28476,-1
33,30193,12369793
34,28474,-1
35,29170,-1
36,29966,7663296
37,28668,3556956
38,28636,10758844
39,6390,10916781
40,28567,-1
41,6205,-1
42,29166,-1
43,29212,-1
44,5403,10442972
45,6035,14012329
46,28721,13949155
47,30819,13191061
48,28687,-1
49,5904,-1
50,30280,10822019
51,30465,-1
52,3878,15875976
53,5007,-1
54,31261,17644860
55,28841,-1
56,29200,9084721
57,28513,9400594
58,30901,11201066
59,30442,-1
60,6309,8926785
61,6321,-1
62,29252,7505360
63,28536,-1
64,30373,10979955
65,28957,5957586
66,31097,15781214
67,28864,-1
68,6393,15749627
69,29515,11169478
70,30469,10948368
71,29446,-1
72,28701,14928359
73,28639,16444546
74,6389,10285036
75,6242,8800436
76,31015,10822019
77,29416,12938363
78,31086,6747266
79,31084,8295041
80,31114,7505360
81,30653,8989960
82,31007,10221862
83,6513,-1
84,6280,8358215
85,31815,10127100
86,28638,5136318
87,29950,-1
88,30195,-1
89,28817,-1
90,29215,5736475
91,28809,-1
92,33095,13633282
93,29172,-1
94,30466,8768849
95,30564,6715679
96,30948,16286609
97,29087,9274245
98,32098,11327415
99,29322,-1
100,32078,13506933
101,36006,5799650
102,29607,-1
103,29949,11864397
104,30043,8295041
105,28962,10190274
106,31054,7063139
107,30820,8674087
108,29174,12590904
109,31340,9526943
110,6191,-1
111,31027,16065499
112,31728,16349784
113,6197,15338993
114,6188,-1
115,6478,9653291
116,30726,6526156
117,30450,7094726
118,28954,-1
119,33172,19540094
120,29630,7473773
121,30981,13854393
122,32188,6462981
123,31478,7600122
124,28734,5009969
125,29287,7094726
126,29273,5357428
127,30934,7852819
128,33039,20013902
129,29185,-1
130,32048,6778854
131,29807,-1
132,6480,-1
133,4553,-1
134,31037,-1
135,28688,-1
136,31099,-1
137,32104,-1
138,32574,11390589
139,30400,-1
140,31402,7473773
141,31662,14644074
142,31668,9590117
143,30579,7221075
144,28563,-1
145,29147,-1
146,29198,-1
147,31009,13064712
148,29081,-1
149,32106,-1
150,31413,7694883
151,30147,-1
152,28968,8295041
153,31127,10285036
154,31988,7852819
155,30173,-1
156,31010,-1
157,30765,8452977
158,30624,5262667
159,29246,4630922
160,28671,-1
161,31493,-1
162,31376,8231866
163,31091,8484564
164,30830,13348997
165,30589,4662509
166,28489,-1
167,30004,-1
168,30178,6936790
169,32029,6083935
170,31687,5262667
171,30950,7726470
172,32582,6873615
173,30296,4599335
174,30699,11453763
175,30511,-1
176,5382,-1
