YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2008,LA,4,3,1,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,-0.1
2009,LA,8,10,0,1,0,0,0,1,0,1,0,0,.100,.100,.100,.200,-0.2
2010,LAD,44,108,6,30,5,0,0,16,14,18,0,0,.278,.363,.324,.687,0.3
2011,LAD,31,85,8,23,1,1,2,11,14,16,0,1,.271,.392,.376,.768,0.3
2012,LAD,133,423,44,114,20,1,13,52,65,107,0,0,.270,.373,.414,.787,3.2
2013,LAD,115,390,43,93,17,1,10,52,45,78,0,2,.238,.318,.364,.682,2.3
2014,LAD,93,283,21,54,9,0,3,25,53,57,0,0,.191,.323,.254,.577,0.0
2015,LAD,63,181,24,43,9,0,7,21,32,38,0,0,.238,.355,.403,.758,1.6
2016,LAD,53,139,8,27,5,0,1,13,16,24,1,1,.194,.285,.252,.537,-0.2
2016,PHI,11,32,3,10,3,0,1,9,3,7,1,0,.313,.371,.500,.871,0.1
2016,Total,64,171,11,37,8,0,2,22,19,31,2,1,.216,.301,.298,.599,-0.1
2017,MIA,51,143,17,30,5,0,6,14,12,29,0,0,.210,.298,.371,.669,0.4
2018,SD,18,50,5,15,4,0,0,5,8,12,0,0,.300,.400,.380,.780,0.4
