YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2006,SEA,32,74,6,16,4,0,1,8,2,22,3,1,.216,.237,.311,.548,0.0
2007,SEA,41,65,16,16,2,1,2,4,4,21,2,1,.246,.300,.400,.700,0.8
2008,BAL,132,477,61,129,21,7,9,57,23,108,10,3,.270,.311,.400,.711,1.7
2009,BAL,119,473,83,131,22,3,19,70,36,93,10,4,.277,.335,.457,.792,2.4
2010,BAL,149,581,76,165,25,5,19,69,23,119,7,7,.284,.325,.442,.767,2.1
2011,BAL,151,567,68,159,26,2,25,83,29,113,12,4,.280,.319,.466,.785,2.8
2012,BAL,162,648,103,186,39,3,32,82,34,126,16,7,.287,.334,.505,.839,3.4
2013,BAL,160,653,100,186,35,1,33,108,25,136,14,3,.285,.318,.493,.811,4.4
2014,BAL,159,644,88,181,30,2,29,96,19,133,7,1,.281,.311,.469,.780,4.9
2015,BAL,137,546,74,147,25,3,27,82,24,102,3,1,.269,.308,.474,.782,3.3
2016,BAL,152,619,86,164,19,0,29,83,39,115,2,0,.265,.310,.436,.746,1.1
2017,BAL,147,597,82,170,28,1,26,73,27,113,2,1,.285,.322,.466,.788,2.5
2018,BAL,49,204,23,55,12,0,9,25,5,39,0,0,.270,.288,.461,.749,-0.3
