SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2005,STL,2,0,0,0,2.0,2,3,3,1,1,0,0,0,0,0,0,-0.1,1.50,13.50
2006,STL,61,0,0,0,75.0,64,26,26,6,22,72,2,1,3,17,2,1.3,1.15,3.12
2007,STL,32,32,1,0,202.0,212,93,83,13,70,136,14,12,0,0,0,2.5,1.40,3.70
2008,STL,20,20,1,0,132.0,122,51,47,12,34,91,11,3,0,0,0,2.4,1.18,3.20
2009,STL,34,34,1,0,233.0,216,75,68,17,66,212,19,8,0,0,0,6.0,1.21,2.63
2010,STL,33,33,5,2,230.1,186,68,62,15,56,213,20,11,0,0,0,5.9,1.05,2.42
2012,STL,32,32,3,2,198.2,196,96,87,15,52,184,14,13,0,0,0,1.0,1.25,3.94
2013,STL,34,34,5,2,241.2,223,83,79,15,35,219,19,9,0,0,0,6.2,1.07,2.94
2014,STL,32,32,5,3,227.0,184,64,60,10,50,179,20,9,0,0,0,6.1,1.03,2.38
2015,STL,7,4,0,0,28.0,25,7,5,0,4,20,2,1,0,0,0,0.9,1.04,1.61
2016,STL,33,33,1,1,198.2,220,108,102,22,59,161,13,9,0,0,0,1.0,1.40,4.62
2017,STL,24,23,0,0,123.1,140,73,70,14,45,96,12,5,0,0,0,0.2,1.50,5.11
2018,STL,4,4,0,0,18.0,19,9,8,2,14,15,1,3,0,0,0,0.0,1.83,4.00
