SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2011,CHW,6,0,0,0,7.1,10,3,3,1,1,12,0,0,0,0,0,0.1,1.50,3.68
2012,CHW,62,0,0,0,55.0,57,30,29,6,18,54,3,2,29,4,4,-0.1,1.36,4.75
2013,CHW,68,0,0,0,71.1,56,31,30,6,23,72,5,4,40,0,8,1.2,1.11,3.79
2014,ARI,62,0,0,0,59.1,57,31,28,11,15,69,1,7,32,0,6,-0.5,1.21,4.25
2015,NYM,17,0,0,0,15.1,11,2,2,1,5,17,1,1,1,6,2,0.7,1.04,1.17
2015,ARI,38,0,0,0,40.2,47,19,19,2,14,34,2,2,3,8,2,-0.1,1.50,4.20
2015,Total,55,0,0,0,56.0,58,21,21,3,19,51,3,3,4,14,4,0.6,1.38,3.38
2016,NYM,80,0,0,0,77.2,60,18,17,4,13,91,4,2,1,40,4,2.9,0.94,1.97
2017,BOS,29,0,0,0,27.0,16,10,10,5,9,28,1,1,0,11,0,0.6,0.93,3.33
2017,NYM,48,0,0,0,49.0,49,14,14,6,6,48,1,2,19,4,2,1.8,1.12,2.57
2017,Total,77,0,0,0,76.0,65,24,24,11,15,76,2,3,19,15,2,2.4,1.05,2.84
2018,MIN,22,0,0,0,24.1,19,7,7,3,7,25,1,3,0,7,1,0.7,1.07,2.59
