YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
1998,LA,77,195,18,42,9,0,7,22,14,37,3,1,.215,.278,.369,.647,0.1
1999,LA,152,538,84,148,27,5,15,67,61,105,18,7,.275,.352,.428,.780,3.6
2000,LA,138,510,71,148,30,2,20,85,56,80,12,5,.290,.360,.475,.835,3.1
2001,LA,126,475,59,126,22,4,13,60,28,82,13,4,.265,.310,.411,.721,0.6
2002,LA,159,587,70,151,26,5,21,75,37,96,7,5,.257,.303,.426,.729,1.7
2003,LA,158,559,50,134,30,2,23,80,37,103,2,2,.240,.290,.424,.714,3.4
2004,LA,156,598,104,200,32,0,48,121,53,87,7,2,.334,.388,.629,1.017,9.3
2005,SEA,156,603,69,154,36,1,19,87,38,108,3,1,.255,.303,.413,.716,2.8
2006,SEA,156,620,88,166,39,4,25,89,47,118,11,5,.268,.328,.465,.793,5.1
2007,SEA,149,595,87,164,41,2,26,99,38,104,14,2,.276,.319,.482,.801,3.4
2008,SEA,143,556,74,148,29,1,25,77,50,90,8,2,.266,.327,.457,.784,5.3
2009,SEA,111,449,54,119,27,0,8,44,19,74,13,2,.265,.304,.379,.683,3.0
2010,BOS,154,589,84,189,49,2,28,102,40,82,2,1,.321,.365,.553,.918,7.4
2011,TEX,124,487,82,144,33,0,32,105,25,53,1,1,.296,.331,.561,.892,5.6
2012,TEX,156,604,95,194,33,2,36,102,36,82,1,0,.321,.359,.561,.920,6.6
2013,TEX,161,631,88,199,32,0,30,92,50,78,1,0,.315,.371,.509,.880,5.5
2014,TEX,148,549,79,178,33,1,19,77,57,74,1,1,.324,.388,.492,.880,7.0
2015,TEX,143,567,83,163,32,4,18,83,41,65,1,0,.287,.334,.453,.787,5.8
2016,TEX,153,583,89,175,31,1,32,104,48,66,1,1,.300,.358,.521,.879,6.5
2017,TEX,94,340,47,106,22,1,17,71,39,52,1,0,.312,.383,.532,.915,3.7
2018,TEX,29,102,11,32,8,0,1,12,12,18,0,0,.314,.375,.422,.797,0.6
