YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2004,TEX,16,42,7,10,3,0,1,7,2,6,0,0,.238,.273,.381,.654,-0.2
2005,TEX,43,150,17,34,7,1,6,17,10,37,0,0,.227,.272,.407,.679,-0.7
2006,SD,156,570,83,173,38,1,24,82,52,113,0,1,.304,.362,.500,.862,2.8
2007,SD,161,646,101,182,46,3,30,100,65,140,0,0,.282,.347,.502,.849,2.3
2008,SD,162,616,103,172,32,1,36,119,74,142,0,0,.279,.361,.510,.871,3.3
2009,SD,160,552,90,153,27,2,40,99,119,109,1,1,.277,.407,.551,.958,6.6
2010,SD,160,591,87,176,33,0,31,101,93,114,0,0,.298,.393,.511,.904,4.1
2011,BOS,159,630,108,213,45,3,27,117,74,119,1,0,.338,.410,.548,.958,6.7
2012,BOS,123,484,63,145,37,0,15,86,31,81,0,0,.300,.343,.469,.812,2.6
2012,LAD,36,145,12,43,10,1,3,22,11,29,2,0,.297,.344,.441,.785,0.7
2012,Total,159,629,75,188,47,1,18,108,42,110,2,0,.299,.344,.463,.807,3.3
2013,LAD,157,583,69,171,32,0,22,100,47,98,1,0,.293,.342,.461,.803,3.9
2014,LAD,159,591,83,163,41,0,27,116,56,112,1,1,.276,.335,.482,.817,3.9
2015,LAD,156,571,76,157,33,0,28,90,62,107,0,1,.275,.350,.480,.830,3.9
2016,LAD,156,568,69,162,31,0,18,90,55,117,0,2,.285,.349,.435,.784,2.1
2017,LAD,71,231,14,56,17,0,3,30,16,43,0,1,.242,.287,.355,.642,-1.2
2018,NYM,38,118,11,31,3,0,5,20,14,24,0,0,.263,.336,.415,.751,-0.1
