YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2001,STL,161,590,112,194,47,4,37,130,69,93,1,3,.329,.403,.610,1.013,6.3
2002,STL,157,590,118,185,40,2,34,127,72,69,2,4,.314,.394,.561,.955,5.2
2003,STL,157,591,137,212,51,1,43,124,79,65,5,1,.359,.439,.667,1.106,8.4
2004,STL,154,592,133,196,51,2,46,123,84,52,5,5,.331,.415,.657,1.072,8.3
2005,STL,161,591,129,195,38,2,41,117,97,65,16,2,.330,.430,.609,1.039,8.2
2006,STL,143,535,119,177,33,1,49,137,92,50,7,2,.331,.431,.671,1.102,8.2
2007,STL,158,565,99,185,38,1,32,103,99,58,2,6,.327,.429,.568,.997,8.5
2008,STL,148,524,100,187,44,0,37,116,104,54,7,3,.357,.462,.653,1.115,9.0
2009,STL,160,568,124,186,45,1,47,135,115,64,16,4,.327,.443,.658,1.101,9.4
2010,STL,159,587,115,183,39,1,42,118,103,76,14,4,.312,.414,.596,1.010,7.3
2011,STL,147,579,105,173,29,0,37,99,61,58,9,1,.299,.366,.541,.907,5.1
2012,LAA,154,607,85,173,50,0,30,105,52,76,8,1,.285,.343,.516,.859,4.6
2013,LAA,99,391,49,101,19,0,17,64,40,55,1,1,.258,.330,.437,.767,1.5
2014,LAA,159,633,89,172,37,1,28,105,48,71,5,1,.272,.324,.466,.790,3.9
2015,LAA,157,602,85,147,22,0,40,95,50,72,5,3,.244,.307,.480,.787,3.1
2016,LAA,152,593,71,159,19,0,31,119,49,75,4,0,.268,.323,.457,.780,1.4
2017,LAA,149,593,53,143,17,0,23,101,37,93,3,0,.241,.286,.386,.672,-1.8
2018,LAA,46,186,18,47,9,0,7,24,10,29,0,0,.253,.293,.414,.707,0.1
