YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2008,MIL,9,4,2,2,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,0.0
2009,MIL,38,125,20,38,3,1,1,11,4,18,4,2,.304,.333,.368,.701,0.3
2010,MIL,145,506,57,119,14,10,4,41,36,70,10,4,.235,.288,.326,.614,0.4
2011,KC,158,548,69,139,21,8,4,46,25,73,26,9,.254,.290,.343,.633,2.3
2012,KC,155,605,68,177,30,7,5,52,27,100,35,5,.293,.331,.390,.721,3.2
2013,KC,158,607,57,142,20,4,4,52,19,84,22,0,.234,.259,.300,.559,0.3
2014,KC,162,579,74,165,34,5,3,50,23,83,31,6,.285,.317,.377,.694,2.4
2015,KC,148,612,76,157,20,5,3,47,26,75,17,5,.257,.293,.320,.613,0.6
2016,KC,162,637,57,166,24,6,7,55,27,96,17,4,.261,.292,.350,.642,0.3
2017,KC,162,599,71,150,36,5,6,54,15,102,4,7,.250,.272,.357,.629,0.0
2018,KC,50,174,22,42,9,1,1,13,11,21,2,1,.241,.293,.322,.615,-0.1
