YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2009,DET,29,61,9,17,4,0,5,14,10,18,0,0,.279,.375,.590,.965,0.5
2010,DET,104,294,28,67,12,0,7,31,36,71,2,2,.228,.316,.340,.656,-0.1
2011,DET,141,464,63,137,33,4,19,82,73,131,3,1,.295,.389,.506,.895,4.9
2012,DET,116,367,42,89,21,2,9,48,61,104,2,0,.243,.352,.384,.736,2.2
2013,DET,102,330,39,75,14,1,11,47,44,112,0,0,.227,.317,.376,.693,0.7
2014,DET,124,390,44,85,22,0,11,47,61,151,0,3,.218,.327,.359,.686,2.0
2015,DET,67,178,21,34,5,0,4,13,40,66,0,1,.191,.339,.287,.626,-0.1
2016,CHW,57,169,19,36,6,0,7,11,38,78,0,0,.213,.359,.373,.732,1.0
2017,DET,77,219,30,60,11,0,11,32,43,80,0,1,.274,.394,.475,.869,2.0
2017,CHC,35,92,11,22,2,1,3,17,19,40,0,0,.239,.369,.380,.749,0.7
2017,Total,112,311,41,82,13,1,14,49,62,120,0,1,.264,.387,.447,.834,2.7
2018,ARI,34,78,6,10,0,0,2,4,13,43,0,0,.128,.253,.205,.458,-0.5
