YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2007,KC,151,543,60,134,36,4,15,60,41,137,14,4,.247,.314,.411,.725,1.6
2008,KC,134,493,72,128,35,1,16,59,66,120,9,2,.260,.351,.432,.783,2.5
2009,KC,49,164,28,38,6,0,6,22,21,43,5,0,.232,.324,.378,.702,0.2
2010,KC,74,242,34,52,10,0,8,20,34,62,1,5,.215,.315,.355,.670,-0.6
2011,KC,151,611,101,185,45,4,23,87,67,139,17,8,.303,.376,.502,.878,7.1
2012,KC,161,642,93,189,51,5,14,72,73,140,10,5,.294,.368,.455,.823,6.2
2013,KC,156,633,90,168,27,6,20,81,52,141,11,3,.265,.327,.422,.749,4.2
2014,KC,156,563,87,150,34,1,19,74,65,126,12,3,.266,.351,.432,.783,6.6
2015,KC,104,354,40,96,18,0,13,48,49,92,2,5,.271,.377,.432,.809,2.8
2016,KC,128,445,62,98,16,2,17,40,52,148,8,1,.220,.312,.380,.692,0.8
2017,KC,148,476,52,99,20,2,9,45,45,126,7,4,.208,.293,.315,.608,0.1
2018,KC,35,126,14,34,4,0,4,10,8,28,2,0,.270,.328,.397,.725,0.5
