SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2010,CHC,53,0,0,0,54.1,55,31,29,8,30,50,2,6,0,16,1,-0.2,1.56,4.80
2011,CHC,7,1,0,0,10.2,3,2,2,1,4,8,0,0,0,1,0,0.4,0.66,1.69
2012,SD,33,5,0,0,46.1,42,23,22,5,19,52,3,4,0,6,4,-0.2,1.32,4.27
2013,SD,31,26,1,1,175.0,151,68,60,12,47,128,10,9,0,1,0,2.4,1.13,3.09
2014,SD,19,19,2,2,123.1,110,42,35,7,29,93,5,7,0,0,0,1.9,1.13,2.55
2015,SD,31,31,0,0,184.2,200,111,89,19,66,165,6,16,0,0,0,-0.9,1.44,4.34
2016,SD,16,16,0,0,79.1,80,47,42,13,30,67,4,7,0,0,0,-0.1,1.39,4.76
2016,MIA,12,11,0,0,52.2,62,36,35,6,30,45,1,4,0,0,0,-0.6,1.75,5.98
2016,Total,28,27,0,0,132.0,142,83,77,19,60,112,5,11,0,0,0,-0.7,1.53,5.25
2017,TEX,28,28,0,0,166.2,156,75,63,15,64,86,11,11,0,0,0,4.6,1.32,3.40
2018,BAL,10,10,0,0,55.1,59,32,29,11,27,50,2,5,0,0,0,0.5,1.55,4.72
