YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2009,PIT,108,433,74,124,26,9,12,54,54,83,22,5,.286,.365,.471,.836,2.2
2010,PIT,154,570,94,163,35,5,16,56,70,89,33,10,.286,.365,.449,.814,3.6
2011,PIT,158,572,87,148,34,5,23,89,89,126,23,10,.259,.364,.456,.820,5.3
2012,PIT,157,593,107,194,29,6,31,96,70,132,20,12,.327,.400,.553,.953,7.0
2013,PIT,157,583,97,185,38,5,21,84,78,101,27,10,.317,.404,.508,.912,8.2
2014,PIT,146,548,89,172,38,6,25,83,84,115,18,3,.314,.410,.542,.952,6.4
2015,PIT,157,566,91,165,36,3,23,96,98,133,11,5,.292,.401,.488,.889,4.8
2016,PIT,153,598,81,153,26,3,24,79,69,143,6,7,.256,.336,.430,.766,-0.7
2017,PIT,156,570,94,159,30,2,28,88,73,116,11,5,.279,.363,.486,.849,2.5
2018,SF,47,173,27,41,13,1,3,19,26,48,3,1,.237,.342,.376,.718,0.6
