SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2006,DET,8,0,0,0,10.1,8,9,7,0,10,6,0,1,0,1,0,-0.2,1.74,6.10
2007,DET,13,13,0,0,64.0,73,43,40,8,39,56,5,5,0,0,0,-0.2,1.75,5.63
2008,FLA,29,20,0,0,107.1,120,78,70,7,56,89,6,10,0,2,0,-1.5,1.64,5.87
2009,FLA,20,14,0,0,80.0,85,52,43,7,43,59,3,5,0,1,0,0.0,1.60,4.84
2010,FLA,9,7,0,0,32.2,51,34,31,6,26,28,1,5,0,0,0,-1.1,2.36,8.54
2011,BOS,17,12,0,0,65.0,77,43,40,8,41,50,6,3,0,0,0,-0.5,1.82,5.54
2012,BOS,53,0,0,0,40.1,28,15,15,3,20,51,3,2,0,13,0,0.7,1.19,3.35
2013,BOS,37,0,0,0,30.2,25,12,9,3,17,48,1,2,0,6,1,0.4,1.37,2.64
2014,BAL,23,0,0,0,20.0,8,3,3,1,4,34,2,0,1,9,1,0.9,0.60,1.35
2014,BOS,50,0,0,0,42.1,25,13,11,2,13,69,3,5,0,13,0,0.9,0.90,2.34
2014,Total,73,0,0,0,62.1,33,16,14,3,17,103,5,5,1,22,1,1.8,0.80,2.02
2015,NYY,60,0,0,0,61.2,33,16,14,5,20,100,3,2,36,0,2,2.3,0.86,2.04
2016,CLE,26,0,0,0,29.0,14,5,5,3,2,46,4,0,3,10,0,1.6,0.55,1.55
2016,NYY,44,0,0,0,45.1,28,8,7,5,7,77,6,1,9,16,2,2.3,0.77,1.39
2016,Total,70,0,0,0,74.1,42,13,12,8,9,123,10,1,12,26,2,3.9,0.69,1.45
2017,CLE,57,0,0,0,62.2,31,11,10,3,21,95,4,3,2,27,2,3.1,0.83,1.44
2018,CLE,16,0,0,0,13.2,11,4,4,1,9,23,1,2,1,5,2,0.4,1.46,2.63
