SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,MIN,12,12,0,0,59.0,76,43,41,12,20,34,3,7,0,0,0,-0.2,1.63,6.25
2011,MIN,27,11,0,0,102.0,111,53,49,9,26,55,4,7,0,0,0,1.1,1.34,4.32
2012,MIN,44,5,0,0,96.2,106,57,54,15,31,62,3,6,0,1,1,-0.6,1.42,5.03
2013,MIN,48,0,0,0,96.0,89,33,31,7,22,69,3,2,0,3,2,1.7,1.16,2.91
2014,MIN,50,4,0,0,86.0,100,48,44,5,28,47,3,2,0,3,1,0.1,1.49,4.60
2015,CLE,10,0,0,0,13.1,18,9,5,1,4,13,0,0,0,0,0,-0.1,1.65,3.38
2016,NYY,26,0,0,0,31.0,28,19,19,10,7,31,1,2,0,1,1,-0.1,1.13,5.52
2017,CHW,41,0,0,0,48.1,37,12,12,2,13,52,4,3,1,10,2,1.8,1.03,2.23
2017,MIL,29,0,0,0,29.0,21,9,8,4,9,39,2,1,1,17,1,0.9,1.03,2.48
2017,Total,70,0,0,0,77.1,58,21,20,6,22,91,6,4,2,27,3,2.7,1.03,2.33
2018,NYM,2,0,0,0,2.1,1,1,1,1,1,3,0,0,0,1,0,0.0,0.86,3.86
