SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2010,CIN,15,0,0,0,13.1,9,4,3,0,5,19,2,2,0,4,1,0.4,1.05,2.03
2011,CIN,54,0,0,0,50.0,24,21,20,2,41,71,4,1,1,13,2,0.4,1.30,3.60
2012,CIN,68,0,0,0,71.2,35,13,12,4,23,122,5,5,38,6,5,3.6,0.81,1.51
2013,CIN,68,0,0,0,63.2,37,18,18,7,29,112,4,5,38,0,5,2.0,1.04,2.54
2014,CIN,54,0,0,0,54.0,21,12,12,1,24,106,0,3,36,0,2,1.9,0.83,2.00
2015,CIN,65,0,0,0,66.1,43,13,12,3,33,116,4,4,33,0,3,2.7,1.15,1.63
2016,NYY,31,0,0,0,31.1,20,8,7,2,8,44,3,0,20,0,1,1.4,0.89,2.01
2016,CHC,28,0,0,0,26.2,12,4,3,0,10,46,1,1,16,0,2,1.1,0.83,1.01
2016,Total,59,0,0,0,58.0,32,12,10,2,18,90,4,1,36,0,3,2.5,0.86,1.55
2017,NYY,52,0,0,0,50.1,37,20,18,3,20,69,4,3,22,1,4,1.0,1.13,3.22
2018,NYY,19,0,0,0,19.0,9,3,3,0,9,36,1,0,9,0,1,0.9,0.95,1.42
