YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2007,CLE,45,159,30,45,9,2,3,22,17,29,0,0,.283,.354,.421,.775,1.5
2008,CLE,114,352,48,91,20,0,6,47,46,77,4,4,.259,.346,.366,.712,2.8
2009,CLE,131,523,81,161,42,4,6,68,44,89,17,4,.308,.361,.438,.799,4.0
2010,CLE,97,381,39,105,16,1,3,29,25,60,6,4,.276,.326,.346,.672,1.2
2011,CLE,151,604,87,165,32,3,25,92,44,119,17,5,.273,.332,.460,.792,4.6
2012,CLE,143,555,70,150,35,1,16,68,52,99,9,4,.270,.338,.423,.761,3.0
2013,CLE,136,508,66,123,35,2,14,64,35,114,9,3,.242,.299,.402,.701,1.2
2014,CLE,97,378,54,93,22,2,9,40,27,79,7,2,.246,.305,.386,.691,1.2
2014,WSH,49,175,20,40,9,2,5,21,22,29,3,0,.229,.312,.389,.701,-0.3
2014,Total,146,553,74,133,31,4,14,61,49,108,10,2,.241,.307,.387,.694,1.0
2015,TB,143,505,66,134,28,5,15,58,36,107,6,3,.265,.315,.430,.745,1.8
2016,NYM,141,521,65,146,30,1,23,62,38,103,5,1,.280,.336,.474,.810,2.7
2017,NYM,135,479,66,134,32,0,14,59,50,83,3,2,.280,.351,.434,.785,1.1
2018,NYM,45,176,26,54,15,1,7,29,12,33,0,0,.307,.351,.523,.874,1.0
