YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2010,DET,151,618,103,181,34,10,4,41,47,170,27,6,.293,.345,.400,.745,4.8
2011,DET,153,591,90,147,22,11,10,45,56,181,22,5,.249,.317,.374,.691,4.8
2012,DET,137,543,103,163,29,10,16,66,67,134,12,9,.300,.377,.479,.856,5.3
2013,DET,129,552,99,150,30,7,12,49,52,129,8,4,.272,.337,.417,.754,3.4
2014,DET,100,374,52,102,25,5,4,33,35,85,9,4,.273,.332,.398,.730,1.6
2014,SEA,54,223,19,51,5,1,0,14,12,59,11,2,.229,.267,.260,.527,0.1
2014,Total,154,597,71,153,30,6,4,47,47,144,20,6,.256,.308,.347,.655,1.7
2015,SEA,107,419,46,114,18,3,8,38,24,107,15,9,.272,.312,.387,.699,1.4
2015,CHC,29,72,10,17,7,0,1,10,5,19,2,1,.236,.304,.375,.679,0.2
2015,Total,136,491,56,131,25,3,9,48,29,126,17,10,.267,.311,.385,.696,1.5
2016,CHW,54,181,24,46,12,2,0,18,17,39,2,1,.254,.318,.343,.661,-0.1
2017,CLE,85,280,46,89,19,3,7,35,33,64,3,1,.318,.387,.482,.869,1.9
2018,SF,37,116,10,29,6,0,0,12,14,47,2,1,.250,.328,.302,.630,-1.0
