YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2006,TB,52,183,10,41,6,2,2,18,10,26,2,3,.224,.260,.311,.571,-0.7
2007,TB,31,97,8,15,2,0,1,9,3,21,2,0,.155,.184,.206,.390,-1.2
2008,TB,62,198,32,50,10,2,12,30,25,37,3,0,.253,.339,.505,.844,0.8
2009,TB,152,501,91,149,28,7,27,91,91,104,17,6,.297,.405,.543,.948,8.3
2010,TB,151,541,77,129,28,2,10,75,92,107,24,3,.238,.346,.353,.699,4.2
2011,TB,156,588,99,158,46,6,20,91,77,128,19,6,.269,.353,.469,.822,8.5
2012,TB,157,560,88,151,39,7,20,74,97,103,14,9,.270,.377,.471,.848,5.6
2013,TB,157,612,77,168,36,3,12,71,72,91,11,3,.275,.354,.402,.756,5.1
2014,TB,146,570,83,155,34,3,10,52,75,84,10,5,.272,.354,.395,.749,5.0
2015,KC,59,232,37,66,16,1,7,23,29,30,2,3,.284,.364,.453,.817,1.2
2015,OAK,67,235,39,63,20,2,6,33,33,26,1,1,.268,.354,.447,.801,0.7
2015,Total,126,467,76,129,36,3,13,56,62,56,3,4,.276,.359,.450,.809,1.9
2016,CHC,147,523,94,142,31,3,18,76,96,82,6,4,.272,.386,.446,.832,3.8
2017,CHC,128,435,58,101,20,3,12,50,54,71,2,2,.232,.318,.375,.693,0.5
2018,CHC,34,111,19,32,4,1,2,11,17,14,0,0,.288,.383,.396,.779,1.0
