SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2005,ATL,43,0,0,0,37.2,32,13,13,1,17,33,4,2,0,9,2,0.6,1.30,3.11
2006,ATL,2,0,0,0,0.2,4,3,3,0,1,0,0,0,0,1,0,-0.3,7.50,40.50
2007,ATL,5,0,0,0,5.1,10,3,2,0,1,3,0,0,0,1,0,0.0,2.06,3.38
2008,ATL,76,0,0,0,72.0,73,51,47,10,25,67,2,6,1,14,4,-1.3,1.36,5.88
2009,ATL,3,0,0,0,1.1,3,6,6,0,3,2,0,1,0,0,0,-0.5,4.50,40.50
2009,STL,15,0,0,0,16.1,14,10,8,1,5,9,0,0,0,2,0,-0.2,1.16,4.41
2009,ARI,30,0,0,0,37.0,39,20,11,0,12,18,0,1,0,2,0,0.1,1.38,2.68
2009,Total,48,0,0,0,54.2,56,36,25,1,20,29,0,2,0,4,0,-0.6,1.39,4.12
2010,ARI,54,0,0,0,57.0,59,32,27,3,29,29,3,2,0,5,4,-0.2,1.54,4.26
2011,NYM,5,0,0,0,6.2,13,8,8,2,1,1,0,2,1,0,0,-0.5,2.10,10.80
2014,SD,32,0,0,0,40.1,34,16,16,2,8,29,0,1,0,5,0,0.2,1.04,3.57
2015,MIN,68,0,0,0,65.0,62,24,18,5,19,33,3,6,1,19,2,1.3,1.25,2.49
2016,MIL,61,0,0,0,66.0,80,30,29,4,17,26,2,4,1,5,2,0.6,1.47,3.95
2017,BOS,32,0,0,0,41.1,50,20,20,3,14,33,1,1,0,2,1,0.2,1.55,4.35
2018,KC,18,0,0,0,18.2,26,27,23,6,10,8,2,0,1,2,0,-1.5,1.93,11.09
