SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2006,CWS,21,0,0,0,17.1,21,18,16,2,15,15,0,0,1,2,1,-0.5,2.08,8.31
2007,CWS,68,0,0,0,50.2,59,30,28,7,20,35,2,1,0,11,2,0.4,1.56,4.97
2008,CWS,55,0,0,0,42.1,57,31,28,7,14,42,2,3,0,3,1,-0.5,1.68,5.95
2009,ATL,20,0,0,0,17.1,21,12,10,1,9,10,1,1,0,1,0,-0.2,1.73,5.19
2010,NYY,51,0,0,0,40.0,34,13,13,3,20,38,2,0,0,13,0,0.9,1.35,2.93
2011,NYY,64,0,0,0,41.2,43,20,16,4,13,46,5,3,0,10,2,0.5,1.34,3.46
2012,NYY,80,0,0,0,55.1,48,23,23,6,28,68,7,2,1,23,3,0.9,1.37,3.74
2013,NYY,61,0,0,0,39.0,33,15,14,7,13,50,5,2,0,11,2,0.7,1.18,3.23
2014,COL,35,0,0,0,25.0,31,20,19,6,11,32,2,3,0,7,4,-1.0,1.68,6.84
2015,COL,60,0,0,0,35.1,40,17,17,3,17,44,0,3,0,23,4,0.6,1.61,4.33
2016,COL,66,0,0,0,46.1,27,23,19,4,20,57,2,5,1,27,3,0.6,1.01,3.69
2017,CLE,38,0,0,0,21.0,20,13,11,2,9,28,1,0,0,4,1,0.1,1.38,4.71
2018,MIL,7,0,0,0,4.2,7,3,3,1,4,5,0,0,0,0,0,-0.1,2.36,5.79
