SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,OAK,47,0,0,0,59.2,47,8,7,2,22,30,3,0,11,9,2,2.7,1.16,1.06
2009,OAK,69,0,0,0,73.1,82,27,25,2,28,54,2,4,7,14,3,1.6,1.50,3.07
2010,OAK,64,0,0,0,60.2,54,24,22,4,28,41,3,7,0,18,4,0.6,1.35,3.26
2011,OAK,43,0,0,0,37.2,38,14,10,0,13,29,3,2,1,6,1,0.6,1.35,2.39
2011,ARI,23,0,0,0,20.2,15,7,4,0,6,15,0,0,0,4,0,0.2,1.02,1.74
2011,Total,66,0,0,0,58.1,53,21,14,0,19,44,3,2,1,10,1,0.8,1.23,2.16
2012,ARI,77,0,0,0,68.2,54,21,19,2,21,42,6,1,0,17,2,1.6,1.09,2.49
2013,ARI,78,0,0,0,73.0,61,20,18,3,22,44,8,1,13,11,2,1.7,1.14,2.22
2014,ARI,68,0,0,0,67.0,60,29,26,5,24,54,5,3,1,29,8,0.3,1.25,3.49
2015,ARI,66,0,0,0,68.0,48,17,14,3,17,36,0,3,30,4,2,2.1,0.96,1.85
2016,BOS,33,0,0,0,29.2,26,8,5,1,11,31,2,4,4,8,4,1.0,1.25,1.52
2016,ARI,36,0,0,0,38.1,41,13,12,1,15,27,2,3,18,0,2,1.2,1.46,2.82
2016,Total,69,0,0,0,68.0,67,21,17,2,26,58,4,7,22,8,6,2.2,1.37,2.25
2017,MIA,53,0,0,0,47.0,57,29,25,1,16,26,1,4,10,7,5,-0.7,1.55,4.79
2018,MIA,22,0,0,0,22.0,28,17,16,3,3,14,0,3,9,0,0,-0.9,1.41,6.55
