SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2010,MIL,7,0,0,0,7.1,10,6,6,2,4,9,0,1,0,0,0,-0.2,1.91,7.36
2011,MIL,9,0,0,0,14.2,14,9,6,3,3,15,1,1,0,0,0,-0.2,1.16,3.68
2012,MIL,14,0,0,0,16.2,18,7,7,1,7,14,3,0,0,2,0,0.1,1.50,3.78
2013,MIL,71,0,0,0,77.0,66,26,23,2,16,58,3,3,0,27,4,1.2,1.06,2.69
2014,MIL,64,0,0,0,58.1,62,22,21,8,16,31,3,3,0,8,3,0.8,1.34,3.24
2015,MIL,7,0,0,0,7.0,12,6,5,1,5,7,0,1,0,0,0,-0.2,2.43,6.43
2016,MIN,54,0,0,0,54.1,59,22,19,5,8,35,0,2,17,1,3,1.0,1.23,3.15
2017,MIN,45,0,0,0,45.1,41,15,14,3,11,27,2,2,28,0,4,1.1,1.15,2.78
2017,WSH,27,0,0,0,26.0,25,10,10,2,5,12,2,1,1,10,2,0.6,1.15,3.46
2017,Total,72,0,0,0,71.1,66,25,24,5,16,39,4,3,29,10,6,1.7,1.15,3.03
2018,WSH,24,0,0,0,23.0,23,11,11,1,10,20,1,2,1,10,2,0.0,1.43,4.30
