SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2005,CWS,12,10,0,0,67.0,62,30,30,13,17,48,3,2,0,0,0,1.0,1.18,4.03
2006,CWS,53,2,0,0,84.2,77,44,44,17,33,69,4,7,0,11,1,0.9,1.30,4.68
2007,TEX,23,22,0,0,101.2,111,62,55,9,48,59,5,10,0,0,0,0.5,1.56,4.87
2008,TEX,5,5,0,0,22.0,20,11,10,3,8,10,1,1,0,0,0,0.4,1.27,4.09
2009,TEX,17,17,1,1,97.1,96,55,50,13,36,65,7,4,0,0,0,0.6,1.36,4.62
2011,OAK,25,25,5,1,170.2,168,73,63,11,25,123,9,9,0,0,0,2.9,1.13,3.32
2012,OAK,18,18,0,0,111.0,115,44,40,10,24,73,8,6,0,0,0,2.0,1.25,3.24
2013,ARI,22,22,2,1,135.0,161,71,68,13,21,76,5,11,0,0,0,-0.2,1.35,4.53
2014,NYY,14,14,1,1,90.1,91,35,29,10,13,82,7,5,0,0,0,1.6,1.15,2.89
2014,ARI,18,18,0,0,109.2,131,65,61,15,20,93,3,10,0,0,0,-0.5,1.38,5.01
2014,Total,32,32,1,1,200.0,222,100,90,25,33,175,10,15,0,0,0,1.1,1.28,4.05
2015,LAD,4,4,0,0,23.0,24,15,15,9,4,29,3,0,0,0,0,-0.3,1.22,5.87
2016,LAD,10,9,0,0,40.0,29,24,22,2,26,44,2,3,0,0,1,-0.2,1.38,4.95
2017,LAD,19,16,0,0,92.2,89,43,41,5,27,72,6,4,0,0,0,0.7,1.25,3.98
2018,ATL,10,10,0,0,52.0,63,29,27,7,19,43,5,2,0,0,0,-0.0,1.58,4.67
