SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2007,SEA,60,0,0,0,63.1,56,29,29,3,50,66,3,4,0,18,2,0.9,1.67,4.12
2008,SEA,45,5,0,0,64.2,40,26,24,10,34,75,3,4,10,3,2,0.9,1.14,3.34
2009,SEA,26,10,0,0,69.2,66,38,34,10,44,63,2,4,6,1,2,0.1,1.58,4.39
2010,TOR,26,26,1,1,146.1,136,76,73,11,66,178,10,7,0,0,0,1.5,1.38,4.49
2011,TOR,30,30,0,0,179.1,162,103,94,21,69,203,11,11,0,0,0,1.2,1.29,4.72
2012,TOR,21,21,3,3,124.2,98,45,41,12,41,108,10,7,0,0,0,3.2,1.11,2.96
2013,TOR,10,10,0,0,54.1,63,39,34,12,18,42,2,3,0,0,0,-0.6,1.49,5.63
2014,TOR,13,6,0,0,33.1,37,21,21,2,18,30,1,3,0,1,0,-0.3,1.65,5.67
2015,SD,5,5,0,0,33.0,29,10,10,3,7,23,2,0,0,0,0,0.9,1.09,2.73
2016,SD,18,0,0,0,16.0,19,4,3,2,3,8,1,0,0,2,1,0.4,1.38,1.69
2017,LAD,45,0,0,0,43.2,31,10,10,0,9,50,6,0,2,10,1,1.1,0.92,2.06
2018,CHC,18,0,0,0,17.0,10,2,2,0,6,18,0,0,10,0,1,0.9,0.94,1.06
