SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,TOR,18,17,0,0,93.1,116,59,55,17,38,69,7,4,0,0,0,-0.2,1.65,5.30
2010,TOR,28,28,0,0,172.2,175,87,81,18,54,117,15,7,0,0,0,2.0,1.33,4.22
2011,TOR,20,20,2,1,123.2,122,68,65,22,42,87,4,11,0,0,0,1.1,1.33,4.73
2012,TOR,21,9,0,0,61.1,70,40,39,11,23,51,2,4,0,1,0,-0.4,1.52,5.72
2013,TOR,60,0,0,0,60.2,44,20,19,4,23,70,5,1,1,11,2,1.3,1.10,2.82
2014,TOR,66,0,0,0,53.1,46,16,16,2,27,76,2,3,5,24,2,1.4,1.37,2.70
2015,TOR,63,0,0,0,54.1,39,17,15,4,13,70,5,5,5,9,3,1.1,0.96,2.48
2016,TOR,54,0,0,0,36.2,39,17,16,6,8,45,1,7,0,9,4,0.3,1.28,3.93
2017,STL,73,0,0,0,67.1,67,31,29,7,16,66,2,4,1,13,6,0.5,1.23,3.88
2018,STL,9,0,0,0,5.0,4,1,1,0,4,4,0,1,0,0,0,0.1,1.60,1.80
