YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2008,NYY,42,127,18,29,5,2,0,16,8,30,13,1,.228,.283,.299,.582,1.2
2009,NYY,108,248,48,67,6,6,3,23,26,40,26,5,.270,.345,.379,.724,2.1
2010,NYY,150,477,97,132,20,7,5,47,79,101,47,9,.277,.383,.379,.762,7.0
2011,NYY,159,510,87,132,19,8,7,36,60,93,49,13,.259,.345,.369,.714,3.7
2012,NYY,16,31,7,10,2,0,0,3,5,7,2,2,.323,.417,.387,.804,0.2
2013,NYY,145,539,81,147,33,10,8,52,52,127,24,8,.273,.344,.416,.760,4.2
2014,NYY,148,555,87,142,25,8,17,58,56,134,21,5,.256,.327,.422,.749,4.0
2015,NYY,151,571,94,148,26,3,16,66,68,135,20,5,.259,.343,.399,.742,3.3
2016,NYY,148,547,80,143,22,6,7,41,70,106,16,4,.261,.351,.362,.713,3.4
2017,NYY,151,594,96,157,26,4,21,63,72,122,23,5,.264,.350,.428,.778,4.9
2018,NYY,42,159,34,37,8,1,1,14,29,37,5,0,.233,.356,.314,.670,1.7
