SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,MIN,24,9,0,0,84.0,84,37,34,7,31,53,5,2,0,1,0,1.4,1.37,3.64
2010,MIN,53,13,1,1,130.2,122,42,38,11,35,78,10,3,0,9,0,3.5,1.20,2.62
2011,MIN,32,28,1,1,161.2,193,102,94,21,52,115,9,14,0,0,0,0.2,1.52,5.23
2012,MIN,55,11,0,0,109.0,126,71,62,10,27,69,4,12,0,7,1,-1.3,1.40,5.12
2013,MIN,73,0,0,0,61.0,68,28,27,4,22,56,6,2,1,15,3,0.5,1.48,3.98
2014,MIN,62,0,0,0,54.1,52,20,20,6,20,33,3,3,0,7,4,1.2,1.33,3.31
2015,MIN,55,0,0,0,48.2,46,24,23,5,21,24,4,1,1,6,1,0.2,1.38,4.25
2016,BAL,14,0,0,0,13.1,13,6,6,2,3,10,1,0,0,0,0,0.2,1.20,4.05
2017,CHC,68,0,0,0,62.1,58,19,19,6,18,61,1,1,0,13,1,1.4,1.22,2.74
2018,CHC,21,0,0,0,14.2,8,1,1,0,10,11,1,0,0,3,1,0.8,1.23,0.61
