YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2005,ATL,59,180,20,50,7,0,5,23,18,26,1,1,.278,.345,.400,.745,0.2
2006,ATL,130,442,61,147,34,0,24,93,41,54,2,0,.333,.388,.572,.960,4.1
2007,ATL,139,504,51,136,38,0,18,92,35,74,0,1,.270,.320,.452,.772,0.8
2008,ATL,145,509,68,153,42,1,23,87,57,64,5,0,.301,.373,.523,.896,5.3
2009,ATL,138,488,63,137,35,1,21,94,49,83,4,1,.281,.349,.486,.835,3.0
2010,ATL,143,479,63,129,25,0,21,77,74,98,5,2,.269,.375,.453,.828,3.4
2011,ATL,128,466,51,126,19,0,24,71,57,89,3,2,.270,.351,.466,.817,2.4
2012,ATL,121,439,44,101,14,0,20,67,44,76,3,0,.230,.300,.399,.699,0.6
2013,ATL,102,356,43,91,13,0,20,57,39,66,0,1,.256,.336,.461,.797,2.2
2014,NYY,140,495,57,115,15,1,23,75,32,77,0,0,.232,.286,.406,.692,1.8
2015,NYY,135,465,68,108,15,1,26,94,52,97,0,0,.232,.320,.437,.757,2.7
2016,NYY,130,429,56,104,13,0,20,58,54,99,1,0,.242,.335,.413,.748,0.9
2017,HOU,97,349,47,84,12,1,18,62,38,58,1,0,.241,.323,.436,.759,1.2
2018,HOU,35,107,15,25,3,0,4,14,12,23,0,0,.234,.331,.374,.705,0.6
