SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,HOU,11,10,0,0,55.2,59,29,28,9,25,54,6,3,0,0,0,0.4,1.51,4.53
2010,HOU,27,27,0,0,153.2,151,94,84,18,77,158,9,10,0,0,0,-0.5,1.48,4.92
2011,HOU,31,31,0,0,186.0,177,93,78,24,70,176,6,11,0,0,0,0.6,1.33,3.77
2012,HOU,29,29,0,0,168.1,165,90,87,23,66,165,7,13,0,0,0,1.2,1.37,4.65
2013,BAL,11,9,0,0,50.2,61,27,27,6,24,57,4,3,0,0,0,0.2,1.68,4.80
2013,HOU,21,21,0,0,126.0,135,62,55,11,43,90,6,9,0,0,0,1.8,1.41,3.93
2013,Total,32,30,0,0,176.2,196,89,82,17,67,147,10,12,0,0,0,2.0,1.49,4.18
2014,BAL,28,28,0,0,165.1,149,68,67,20,52,139,15,8,0,0,0,1.9,1.22,3.65
2015,BAL,18,11,0,0,66.1,84,57,52,14,25,50,2,9,0,0,1,-1.5,1.64,7.06
2015,SD,20,0,0,0,16.2,16,11,10,1,6,21,1,2,0,2,1,-0.3,1.32,5.40
2015,Total,38,11,0,0,83.0,100,68,62,15,31,71,3,11,0,2,2,-1.8,1.58,6.72
2016,ATL,22,10,0,0,70.1,68,34,33,6,28,60,3,7,0,1,0,0.8,1.36,4.22
2016,LAD,13,9,0,0,42.2,48,33,31,8,21,42,3,3,0,0,0,-0.9,1.62,6.54
2016,Total,35,19,0,0,113.0,116,67,64,14,49,102,6,10,0,1,0,-0.1,1.46,5.10
2017,LAA,60,3,0,0,62.0,56,29,29,8,27,74,2,6,19,3,4,0.4,1.34,4.21
2018,STL,22,0,0,0,23.1,20,8,7,1,4,33,1,1,9,2,0,0.3,1.03,2.70
