YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2009,SF,7,17,1,2,0,0,0,0,0,4,0,0,.118,.118,.118,.236,-0.1
2010,SF,108,406,58,124,23,2,18,67,30,55,0,2,.305,.357,.505,.862,3.7
2011,SF,45,162,17,46,5,0,4,21,18,30,3,0,.284,.368,.389,.757,1.3
2012,SF,148,530,78,178,39,1,24,103,69,96,1,1,.336,.408,.549,.957,7.2
2013,SF,148,520,61,153,34,1,15,72,60,70,2,1,.294,.371,.450,.821,5.2
2014,SF,147,547,72,170,28,2,22,89,47,69,0,1,.311,.364,.490,.854,5.2
2015,SF,150,557,74,177,28,0,19,95,56,52,2,0,.318,.379,.470,.849,6.1
2016,SF,146,539,82,155,33,2,14,80,64,68,6,1,.288,.362,.434,.796,4.7
2017,SF,140,494,62,158,34,0,12,67,61,66,6,1,.320,.400,.462,.862,4.0
2018,SF,41,151,20,46,11,1,2,16,18,20,2,1,.305,.374,.430,.804,1.4
