SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2001,CLE,33,33,0,0,180.1,149,93,88,19,95,171,17,5,0,--,--,2.7,1.35,4.39
2002,CLE,33,33,2,0,210.0,198,109,102,17,88,149,13,11,0,0,0,3.0,1.36,4.37
2003,CLE,30,30,2,1,197.2,190,85,79,19,66,141,13,9,0,0,0,3.5,1.30,3.60
2004,CLE,30,30,1,1,188.0,176,90,86,20,72,139,11,10,0,0,0,2.8,1.32,4.12
2005,CLE,31,31,1,0,196.2,185,92,88,19,62,161,15,10,0,0,0,1.6,1.26,4.03
2006,CLE,28,28,6,2,192.2,182,83,69,17,44,172,12,11,0,0,0,4.4,1.17,3.22
2007,CLE,34,34,4,1,241.0,238,94,86,20,37,209,19,7,0,0,0,6.0,1.14,3.21
2008,CLE,18,18,3,2,122.1,117,54,52,13,34,123,6,8,0,0,0,1.7,1.23,3.83
2008,MIL,17,17,7,3,130.2,106,31,24,6,25,128,11,2,0,0,0,4.7,1.00,1.65
2008,Total,35,35,10,5,253.0,223,85,76,19,59,251,17,10,0,0,0,6.4,1.11,2.70
2009,NYY,34,34,2,1,230.0,197,96,86,18,67,197,19,8,0,0,0,5.9,1.15,3.37
2010,NYY,34,34,2,0,237.2,209,92,84,20,74,197,21,7,0,0,0,4.4,1.19,3.18
2011,NYY,33,33,3,1,237.1,230,87,79,17,61,230,19,8,0,0,0,7.0,1.23,3.00
2012,NYY,28,28,2,0,200.0,184,89,75,22,44,197,15,6,0,0,0,3.3,1.14,3.38
2013,NYY,32,32,2,0,211.0,224,122,112,28,65,175,14,13,0,0,0,0.3,1.37,4.78
2014,NYY,8,8,0,0,46.0,58,31,27,10,10,48,3,4,0,0,0,-0.6,1.48,5.28
2015,NYY,29,29,1,0,167.1,188,92,88,28,50,137,6,10,0,0,0,1.1,1.42,4.73
2016,NYY,30,30,0,0,179.2,172,83,78,22,65,152,9,12,0,0,0,3.0,1.32,3.91
2017,NYY,27,27,0,0,148.2,139,64,61,21,50,120,14,5,0,0,0,2.8,1.27,3.69
2018,NYY,9,9,0,0,45.2,42,24,18,7,12,34,2,1,0,0,0,0.2,1.18,3.55
