YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2007,DET,24,49,8,7,3,0,1,2,3,21,5,0,.143,.208,.265,.473,-0.4
2008,FLA,8,32,9,16,2,0,0,2,3,8,4,0,.500,.543,.563,1.106,0.8
2009,FLA,54,176,30,44,12,2,4,13,17,51,1,3,.250,.318,.409,.727,-0.1
2010,FLA,82,291,46,68,7,3,8,28,24,92,9,2,.234,.302,.361,.663,1.1
2011,SD,137,516,82,136,24,8,9,40,44,125,40,8,.264,.323,.393,.716,4.3
2012,SD,147,507,67,123,20,5,8,45,44,110,26,7,.243,.306,.349,.655,2.7
2013,SD,14,51,7,8,1,0,1,5,4,9,4,1,.157,.232,.235,.467,-0.8
2014,SD,95,251,24,59,13,4,1,15,19,56,4,3,.235,.290,.331,.621,0.5
2015,ATL,141,505,65,135,18,2,10,59,45,102,23,6,.267,.327,.370,.697,0.6
2016,DET,94,349,65,110,14,5,4,43,36,69,15,6,.315,.383,.418,.801,1.9
2017,LAA,93,336,57,79,19,1,6,22,48,78,29,5,.235,.333,.351,.684,1.8
2017,HOU,21,59,6,11,1,1,4,13,3,16,4,3,.186,.226,.441,.667,-0.1
2017,Total,114,395,63,90,20,2,10,35,51,94,33,8,.228,.318,.365,.683,1.7
2018,MIA,47,120,8,27,9,1,0,7,15,29,1,3,.225,.314,.317,.631,-0.1
