YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2008,OAK,85,302,31,73,22,1,4,26,13,81,4,1,.242,.273,.361,.634,0.9
2009,COL,89,278,53,79,14,7,13,29,28,70,16,4,.284,.353,.525,.878,1.7
2010,COL,145,587,111,197,34,9,34,117,40,135,26,8,.336,.376,.598,.974,5.8
2011,COL,127,481,92,142,27,3,26,92,48,105,20,5,.295,.363,.526,.889,4.2
2012,COL,135,518,89,157,31,5,22,85,56,115,20,5,.303,.371,.510,.881,1.3
2013,COL,110,391,72,118,23,6,26,70,41,118,21,3,.302,.367,.591,.958,5.0
2014,COL,70,260,35,62,15,1,11,38,19,70,3,0,.238,.292,.431,.723,-0.7
2015,COL,153,554,87,150,25,2,40,97,46,133,2,0,.271,.325,.540,.865,3.0
2016,COL,150,584,87,174,42,2,25,100,46,129,2,2,.298,.350,.505,.855,2.2
2017,COL,136,470,72,123,34,0,14,57,56,119,3,0,.262,.339,.423,.762,-0.2
2018,COL,34,111,9,24,3,1,4,16,7,31,2,1,.216,.258,.369,.627,-0.6
