SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,ATL,16,15,0,0,74.2,80,56,51,9,41,48,4,8,0,0,0,-1.1,1.62,6.15
2009,PIT,18,18,1,1,97.0,102,49,49,7,40,62,5,9,0,0,0,0.5,1.46,4.55
2010,PIT,17,17,0,0,79.2,112,79,67,15,26,59,2,12,0,0,0,-2.4,1.73,7.57
2011,PIT,29,29,2,1,171.2,186,82,73,6,77,110,10,10,0,0,0,1.6,1.53,3.83
2012,PIT,9,9,0,0,50.1,62,30,26,5,11,25,2,6,0,0,0,-0.5,1.45,4.65
2013,PIT,20,20,0,0,116.0,113,51,42,6,36,85,7,4,0,0,0,0.5,1.28,3.26
2014,PIT,26,26,0,0,157.1,143,76,65,9,57,126,6,12,0,0,0,0.4,1.27,3.72
2015,PIT,23,23,0,0,129.0,137,77,69,13,41,96,9,9,0,0,0,-0.7,1.38,4.81
2016,PHI,4,4,0,0,17.1,15,8,8,1,8,19,1,1,0,0,0,0.3,1.33,4.15
2017,HOU,25,25,0,0,146.2,125,65,59,14,50,163,14,7,0,0,0,1.8,1.19,3.62
2018,HOU,10,10,0,0,61.2,39,15,14,7,21,75,7,0,0,0,0,1.7,0.97,2.04
