YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2007,SD,8,18,1,4,1,0,0,0,2,4,0,0,.222,.333,.278,.611,-0.3
2008,SD,91,331,34,89,19,2,9,38,30,104,4,1,.269,.337,.420,.757,0.9
2009,SD,156,543,62,142,31,2,12,64,62,133,10,2,.262,.342,.392,.734,0.4
2010,SD,161,610,77,161,29,3,11,58,56,139,17,5,.264,.327,.375,.702,3.6
2011,SD,113,381,43,110,28,1,4,44,52,92,13,2,.289,.374,.399,.773,2.6
2012,SD,161,604,95,173,31,2,31,115,86,157,17,6,.286,.376,.498,.874,6.0
2013,SD,141,520,59,130,35,2,13,50,67,142,8,4,.250,.347,.400,.747,3.4
2014,NYY,58,191,28,50,8,0,6,17,29,49,3,2,.262,.371,.398,.769,2.1
2014,SD,77,279,27,64,12,1,7,32,22,73,4,1,.229,.296,.355,.651,1.4
2014,Total,135,470,55,114,20,1,13,49,51,122,7,3,.243,.328,.372,.700,3.5
2015,NYY,156,580,74,150,29,1,11,62,51,135,0,2,.259,.324,.369,.693,1.1
2016,NYY,140,467,58,117,18,1,14,51,51,118,8,2,.251,.329,.383,.712,2.6
2017,NYY,147,512,77,140,30,1,12,61,60,132,9,2,.273,.352,.406,.758,1.8
2018,SD,27,52,2,6,1,0,0,4,6,20,0,0,.115,.233,.135,.368,-0.3
