YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2003,PHI,43,134,13,32,10,1,2,21,11,22,2,0,.239,.322,.373,.695,0.2
2004,PHI,94,267,36,71,11,2,13,57,15,40,4,1,.266,.308,.468,.776,2.2
2005,PHI,147,543,93,158,39,6,28,105,69,109,16,3,.291,.376,.540,.916,7.0
2006,PHI,160,658,131,203,40,4,32,102,63,132,15,4,.309,.379,.527,.906,7.1
2007,PHI,132,530,104,176,48,5,22,103,50,89,9,1,.332,.410,.566,.976,7.7
2008,PHI,159,607,113,177,41,4,33,104,64,104,14,2,.292,.380,.535,.915,8.8
2009,PHI,156,571,112,161,28,4,31,93,88,110,23,0,.282,.397,.508,.905,8.0
2010,PHI,115,425,75,117,20,2,16,65,63,63,13,2,.275,.387,.445,.832,5.7
2011,PHI,103,398,54,103,21,6,11,44,39,47,14,0,.259,.344,.425,.769,3.7
2012,PHI,83,301,48,77,15,2,11,45,43,43,11,1,.256,.365,.429,.794,2.9
2013,PHI,131,476,73,135,25,6,18,69,45,79,8,3,.284,.348,.475,.823,3.5
2014,PHI,155,589,74,159,36,6,11,78,53,85,10,1,.270,.339,.407,.746,3.6
2015,LAD,34,124,14,25,9,1,3,9,10,29,1,0,.202,.291,.363,.654,0.9
2015,PHI,73,249,23,54,12,1,5,30,22,35,3,0,.217,.284,.333,.617,-0.5
2015,Total,107,373,37,79,21,2,8,39,32,64,4,0,.212,.286,.343,.629,0.4
2016,LAD,138,512,79,129,26,3,14,52,40,115,2,2,.252,.319,.396,.715,2.0
2017,LAD,127,309,43,73,20,4,8,34,32,57,6,1,.236,.324,.405,.729,1.0
2018,LAD,41,105,12,24,7,1,1,14,13,21,2,0,.229,.317,.343,.660,0.1
