SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2013,ARI,21,0,0,0,22.1,18,10,10,3,13,24,1,0,0,1,2,-0.0,1.39,4.03
2014,NYY,3,0,0,0,2.0,3,3,2,0,3,4,0,0,0,0,0,-0.1,3.00,9.00
2015,BAL,36,0,0,0,41.1,44,19,19,4,17,38,4,2,0,4,1,0.3,1.48,4.14
2016,BAL,9,0,0,0,9.2,8,4,4,2,7,11,1,0,0,0,0,0.1,1.55,3.72
2016,ATL,21,0,0,0,20.0,14,8,8,0,7,26,1,0,0,3,1,0.3,1.05,3.60
2016,Total,30,0,0,0,29.2,22,12,12,2,14,37,2,0,0,3,1,0.4,1.21,3.64
2017,ATL,3,0,0,0,2.0,3,4,2,0,2,1,0,0,0,0,0,-0.2,2.50,9.00
2017,TB,9,0,0,0,8.2,4,1,1,1,3,12,0,0,0,1,0,0.3,0.81,1.04
2017,Total,12,0,0,0,10.2,7,5,3,1,5,13,0,0,0,1,0,0.1,1.13,2.53
2018,TB,24,0,0,0,17.1,16,9,9,3,7,20,0,1,0,11,0,-0.1,1.33,4.67
