SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2011,FLA,11,0,0,0,10.1,14,8,8,2,4,8,0,0,0,0,0,-0.2,1.74,6.97
2012,MIA,11,0,0,0,14.2,17,9,7,3,6,10,0,0,0,0,0,0.0,1.57,4.30
2013,MIA,7,0,0,0,8.2,13,13,12,1,4,7,0,1,0,0,0,-0.7,1.96,12.46
2014,MIA,52,0,0,0,56.0,55,22,21,4,12,60,0,3,0,6,2,0.6,1.20,3.38
2015,LAD,49,0,0,0,39.0,35,19,16,4,13,45,3,5,4,13,2,-0.0,1.23,3.69
2016,LAD,37,0,0,0,40.2,40,26,25,8,21,43,5,4,0,4,1,-0.7,1.50,5.53
2017,OAK,23,0,0,0,23.0,21,9,9,3,9,20,1,1,1,9,3,0.5,1.30,3.52
2017,LAD,26,0,0,0,36.2,37,20,19,7,12,43,0,1,0,2,1,-0.1,1.34,4.66
2017,Total,49,0,0,0,59.2,58,29,28,10,21,63,1,2,1,11,4,0.4,1.32,4.22
2018,OAK,16,0,0,0,17.2,24,12,9,4,8,12,3,1,0,1,1,-0.3,1.81,4.58
