YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2006,CWS,6,8,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,-0.1
2007,TEX,17,37,4,9,2,0,0,3,3,6,0,0,.243,.300,.297,.597,-0.3
2008,NYY,1,3,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-0.2
2010,SD,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
2011,SF,67,162,20,33,8,0,3,10,16,18,0,0,.204,.283,.309,.592,1.4
2012,NYY,55,141,15,34,8,0,1,13,10,21,2,0,.241,.292,.319,.611,0.9
2013,NYY,109,294,28,62,6,0,4,25,30,49,4,0,.211,.293,.272,.565,0.2
2014,PIT,49,136,9,40,5,0,0,10,12,27,0,1,.294,.362,.331,.693,0.7
2015,PIT,58,159,9,46,8,0,0,15,6,29,0,0,.289,.320,.340,.660,0.3
2016,PIT,34,98,10,21,4,0,1,7,12,15,0,0,.214,.319,.286,.605,-0.3
2017,PIT,51,131,8,24,1,2,0,4,9,22,0,0,.183,.241,.221,.462,-0.7
2018,ATL,5,14,3,3,0,0,0,3,1,1,0,0,.214,.250,.214,.464,-0.0
