SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,BAL,12,12,0,0,65.0,77,40,39,15,24,39,2,5,0,0,0,0.4,1.55,5.40
2010,BAL,11,11,0,0,53.2,51,37,35,9,31,31,2,5,0,0,0,-0.1,1.53,5.87
2011,BAL,13,13,0,0,62.0,77,41,38,5,25,46,3,5,0,0,0,-0.3,1.65,5.52
2012,BAL,15,15,0,0,86.0,66,38,28,12,24,66,9,3,0,0,0,1.5,1.05,2.93
2013,BAL,33,33,1,0,206.1,184,87,85,33,68,179,16,7,0,0,0,4.4,1.22,3.71
2014,BAL,34,34,1,1,207.1,189,83,77,21,66,150,13,6,0,0,0,2.4,1.23,3.34
2015,BAL,31,31,0,0,173.0,176,97,96,20,64,120,11,11,0,0,0,0.8,1.39,4.99
2016,BAL,30,30,0,0,172.0,155,73,72,19,66,140,16,6,0,0,0,4.1,1.28,3.77
2017,BAL,24,19,0,0,93.0,125,86,81,24,51,63,1,7,0,0,0,-2.2,1.89,7.84
2018,BAL,7,7,0,0,26.2,42,32,31,6,17,13,1,5,0,0,0,-1.1,2.21,10.46
