YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2006,ARI,30,70,10,17,4,0,2,10,6,12,2,1,.243,.308,.386,.694,0.2
2007,ARI,148,569,85,135,29,3,32,68,43,141,27,6,.237,.295,.467,.762,0.5
2008,ARI,160,625,85,155,42,7,22,85,62,165,14,5,.248,.315,.443,.758,1.2
2009,ARI,134,433,54,92,28,4,15,42,59,133,11,4,.212,.311,.400,.711,-0.2
2010,ARI,156,584,94,150,33,0,27,91,74,145,28,7,.257,.341,.452,.793,5.2
2011,ARI,156,567,89,134,38,3,20,71,80,139,22,9,.236,.331,.420,.751,4.6
2012,ARI,101,325,36,75,24,0,14,41,36,79,8,3,.231,.311,.434,.745,1.9
2013,OAK,107,335,46,67,18,3,12,40,36,93,10,3,.200,.280,.379,.659,-0.0
2014,NYY,23,71,9,20,8,0,3,10,7,16,1,0,.282,.354,.521,.875,0.9
2014,NYM,88,254,31,52,12,0,8,28,25,54,7,3,.205,.283,.346,.629,-0.0
2014,Total,111,325,40,72,20,0,11,38,32,70,8,3,.222,.299,.385,.684,0.9
2015,NYY,140,318,53,80,20,1,14,42,30,73,3,1,.252,.320,.453,.773,1.1
2016,BOS,76,203,29,56,18,0,9,24,21,50,4,2,.276,.352,.498,.850,0.9
2017,BOS,90,243,30,57,12,2,7,25,30,55,3,2,.235,.322,.387,.709,-0.4
2018,LAA,31,52,6,8,2,0,2,5,5,17,1,0,.154,.241,.308,.549,-0.4
