SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,LA,22,21,0,0,107.2,109,51,51,11,52,100,5,5,0,1,0,1.3,1.50,4.26
2009,LA,31,30,0,0,171.0,119,55,53,7,91,185,8,8,0,0,0,4.5,1.23,2.79
2010,LAD,32,32,1,1,204.1,160,73,66,13,81,212,13,10,0,0,0,5.4,1.18,2.91
2011,LAD,33,33,5,2,233.1,174,66,59,15,54,248,21,5,0,0,0,6.3,0.98,2.28
2012,LAD,33,33,2,2,227.2,170,70,64,16,63,229,14,9,0,0,0,6.3,1.02,2.53
2013,LAD,33,33,3,2,236.0,164,55,48,11,52,232,16,9,0,0,0,7.9,0.92,1.83
2014,LAD,27,27,6,2,198.1,139,42,39,9,31,239,21,3,0,0,0,7.5,0.86,1.77
2015,LAD,33,33,4,3,232.2,163,62,55,15,42,301,16,7,0,0,0,7.5,0.88,2.13
2016,LAD,21,21,3,3,149.0,97,31,28,8,11,172,12,4,0,0,0,5.6,0.72,1.69
2017,LAD,27,27,1,0,175.0,136,49,45,23,30,202,18,4,0,0,0,4.6,0.95,2.31
2018,LAD,7,7,0,0,44.0,40,14,14,7,10,48,1,4,0,0,0,1.1,1.14,2.86
