SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,CWS,13,8,0,0,47.2,61,37,32,5,13,29,2,5,0,0,0,-0.5,1.55,6.04
2009,CWS,26,14,1,0,89.0,94,50,46,10,37,66,4,3,0,0,0,0.8,1.47,4.65
2009,SD,12,12,0,0,64.0,60,31,29,7,34,48,5,2,0,0,0,0.5,1.47,4.08
2009,Total,38,26,1,0,153.0,154,81,75,17,71,114,9,5,0,0,0,1.3,1.47,4.41
2010,SD,33,33,1,1,201.2,206,89,84,16,78,153,14,9,0,0,0,0.8,1.41,3.75
2011,SD,18,18,0,0,99.2,104,52,43,8,38,53,5,9,0,0,0,-0.4,1.42,3.88
2012,SD,33,33,1,1,218.2,228,110,97,31,42,107,14,14,0,0,0,0.7,1.23,3.99
2013,SD,12,11,0,0,52.2,65,44,41,13,21,24,2,5,0,0,0,-1.7,1.63,7.01
2015,CHC,23,3,0,0,42.1,47,18,18,3,7,22,4,2,0,2,0,0.4,1.28,3.83
2016,CHC,25,0,0,0,14.0,23,14,10,0,7,7,0,1,1,1,0,-0.6,2.14,6.43
2016,SD,11,9,0,0,53.2,58,21,15,4,24,34,3,3,0,0,0,1.1,1.53,2.52
2016,Total,36,9,0,0,67.2,81,35,25,4,31,41,3,4,1,1,0,0.4,1.66,3.33
2017,SD,32,32,2,1,197.1,240,114,105,24,59,151,8,15,0,0,0,0.4,1.52,4.79
2018,SD,10,10,0,0,61.0,64,34,33,6,21,52,3,5,0,0,0,-0.4,1.39,4.87
