YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2009,STL,147,474,72,119,22,2,16,52,36,95,3,1,.251,.307,.407,.714,1.7
2010,STL,144,464,85,128,28,3,23,66,63,148,12,8,.276,.361,.498,.859,3.5
2011,TOR,35,133,14,23,10,0,3,13,5,39,0,0,.173,.201,.316,.517,-1.1
2011,STL,94,338,61,83,14,6,11,40,45,77,5,2,.246,.332,.420,.752,1.3
2011,Total,129,471,75,106,24,6,14,53,50,116,5,2,.225,.298,.391,.689,0.2
2012,TOR,151,565,75,126,21,5,23,75,47,149,4,3,.223,.289,.400,.689,1.2
2013,TOR,118,417,57,115,26,1,22,66,37,135,0,1,.276,.338,.501,.839,4.8
2014,TOR,104,346,45,78,21,1,18,40,29,124,4,0,.225,.287,.448,.735,0.9
2015,HOU,137,432,67,103,23,2,25,61,47,154,2,1,.238,.314,.475,.789,2.6
2016,HOU,107,369,38,76,10,0,15,54,43,121,4,1,.206,.286,.355,.641,2.2
2017,TB,37,121,17,34,7,1,9,23,7,45,1,0,.281,.318,.579,.897,1.2
2018,BAL,8,21,1,2,1,0,0,0,1,13,0,0,.095,.174,.143,.317,-0.2
