SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2006,PHI,23,23,0,0,132.1,117,66,60,19,48,145,9,8,0,0,0,2.2,1.25,4.08
2007,PHI,28,28,2,0,183.1,163,72,69,25,43,177,15,5,0,0,0,3.8,1.12,3.39
2008,PHI,33,33,2,2,227.1,193,89,78,28,53,196,14,10,0,0,0,4.0,1.08,3.09
2009,PHI,32,32,2,2,193.2,206,95,93,24,43,168,10,11,0,0,0,1.7,1.29,4.32
2010,PHI,33,33,1,0,208.2,185,74,71,26,61,211,12,11,0,0,0,5.3,1.18,3.06
2011,PHI,32,31,3,0,216.0,169,68,67,19,44,194,14,9,0,0,0,6.2,0.99,2.79
2012,PHI,31,31,2,2,215.1,190,80,73,24,52,216,17,6,0,0,0,4.2,1.12,3.05
2013,PHI,33,33,1,0,220.0,205,94,88,21,50,202,8,14,0,0,0,4.6,1.16,3.60
2014,PHI,30,30,0,0,204.2,176,60,56,14,59,198,9,9,0,0,0,6.6,1.15,2.46
2015,TEX,12,12,1,0,83.2,77,35,34,10,23,78,7,1,0,0,0,1.7,1.20,3.66
2015,PHI,20,20,1,1,128.2,113,53,52,12,39,137,6,7,0,0,0,2.7,1.18,3.64
2015,Total,32,32,2,1,212.1,190,88,86,22,62,215,13,8,0,0,0,4.4,1.19,3.65
2016,TEX,32,32,0,0,200.2,185,83,74,24,77,200,15,5,0,0,0,5.0,1.31,3.32
2017,TEX,24,24,1,0,148.0,125,74,69,18,53,105,11,6,0,0,0,2.9,1.20,4.20
2018,TEX,10,10,0,0,58.2,49,26,22,11,23,64,3,4,0,0,0,1.7,1.23,3.38
