YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2009,TEX,11,17,4,2,1,0,0,1,2,5,0,0,.118,.211,.176,.387,-0.1
2010,TEX,20,33,4,7,0,0,0,3,1,11,1,0,.212,.229,.212,.441,-0.2
2011,TEX,64,133,26,36,5,1,1,13,10,27,18,0,.271,.347,.346,.693,1.6
2012,TEX,122,240,31,73,12,3,1,26,14,41,13,7,.304,.367,.392,.759,2.7
2013,TEX,106,246,39,69,12,4,2,22,29,46,24,3,.280,.373,.386,.759,3.6
2014,OAK,94,232,38,59,6,1,0,12,17,44,20,2,.254,.319,.289,.608,2.0
2015,OAK,26,50,6,6,0,2,0,3,4,15,1,1,.120,.196,.200,.396,-0.5
2016,LAA,14,34,2,5,1,0,0,2,3,6,0,0,.147,.237,.176,.413,-0.3
2017,BAL,77,101,17,26,5,1,2,11,11,24,5,4,.257,.333,.386,.719,0.2
2018,BAL,36,70,6,16,2,1,0,6,7,15,7,1,.229,.299,.286,.585,0.5
