YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2004,DET,9,25,2,6,1,1,0,0,3,8,0,0,.240,.321,.360,.681,-0.1
2005,DET,47,162,18,44,6,3,8,20,10,43,1,1,.272,.314,.494,.808,2.1
2006,DET,159,596,90,155,31,9,19,68,66,174,8,5,.260,.335,.438,.773,2.9
2007,DET,158,612,122,185,38,23,23,74,52,141,26,1,.302,.361,.552,.913,7.2
2008,DET,141,553,112,155,26,13,22,66,71,111,12,4,.280,.365,.494,.859,3.6
2009,DET,160,631,91,157,23,8,30,71,72,141,20,6,.249,.327,.453,.780,4.1
2010,NYY,136,466,76,115,17,7,24,67,53,116,12,2,.247,.324,.468,.792,4.1
2011,NYY,156,583,136,153,26,10,41,119,85,169,25,10,.262,.364,.552,.916,5.3
2012,NYY,160,596,102,138,18,4,43,106,75,195,10,3,.232,.319,.492,.811,2.7
2013,NYY,61,214,31,49,13,2,7,15,27,69,8,2,.229,.317,.407,.724,1.1
2014,NYM,155,564,73,128,27,2,20,66,79,141,8,2,.227,.326,.388,.714,1.3
2015,NYM,157,580,98,150,33,2,26,70,91,151,11,6,.259,.364,.457,.821,5.1
2016,NYM,150,545,88,129,24,5,30,59,74,130,4,2,.237,.335,.464,.799,2.5
2017,LAD,36,112,16,18,2,0,7,12,18,33,2,0,.161,.288,.366,.654,-0.3
2017,NYM,111,337,58,77,22,3,19,52,53,90,4,2,.228,.334,.481,.815,1.7
2017,Total,147,449,74,95,24,3,26,64,71,123,6,2,.212,.323,.452,.775,1.5
2018,TOR,41,106,20,26,8,1,3,14,25,40,1,1,.245,.398,.425,.823,0.7
