SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,LAA,30,0,0,0,43.1,49,24,22,2,14,29,0,1,0,1,0,0.0,1.45,4.57
2009,TEX,64,0,0,0,55.2,36,12,12,3,17,54,2,1,2,20,0,2.3,0.95,1.94
2009,NYM,4,0,0,0,3.0,5,2,0,0,1,2,0,0,0,0,0,0.0,2.00,0.00
2009,Total,68,0,0,0,58.2,41,14,12,3,18,56,2,1,2,20,0,2.3,1.01,1.84
2010,TEX,72,0,0,0,62.0,43,15,14,5,12,45,6,2,0,22,2,2.3,0.89,2.03
2011,TEX,16,0,0,0,16.2,17,10,10,7,5,18,0,1,0,3,0,0.0,1.32,5.40
2012,BAL,69,0,0,0,67.0,49,17,17,6,14,69,7,1,0,15,2,2.5,0.94,2.28
2013,BAL,68,0,0,0,62.0,47,16,15,7,15,59,5,3,2,20,4,2.1,1.00,2.18
2014,BAL,68,0,0,0,68.2,42,14,13,6,19,73,5,2,4,25,4,2.3,0.89,1.70
2015,BAL,68,0,0,0,65.1,47,13,11,5,14,82,6,2,6,18,5,2.8,0.93,1.52
2016,BAL,34,0,0,0,31.0,25,13,13,6,13,38,3,1,3,10,2,0.6,1.23,3.77
2017,BAL,64,0,0,0,60.1,41,24,23,8,24,76,2,3,2,17,2,1.1,1.08,3.43
2018,BAL,13,0,0,0,14.1,12,7,6,3,2,18,0,1,2,3,2,0.2,0.98,3.77
