SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,BAL,20,19,0,0,101.1,118,62,61,27,46,68,4,10,0,0,0,0.6,1.62,5.42
2010,BAL,41,8,0,0,79.1,72,40,38,9,42,72,8,8,2,2,4,0.6,1.44,4.31
2011,ARI,74,0,0,0,69.1,49,27,26,4,30,77,5,3,11,23,3,0.6,1.14,3.38
2012,ARI,72,0,0,0,68.1,48,21,19,4,22,98,2,3,4,25,6,1.7,1.02,2.50
2013,ARI,62,0,0,0,62.1,50,33,31,10,24,66,5,6,2,15,6,-0.8,1.19,4.48
2015,ARI,40,0,0,0,33.2,33,18,16,6,11,33,1,5,0,7,0,-0.2,1.31,4.28
2016,PHI,70,0,0,0,72.2,77,31,31,11,32,80,3,4,1,15,2,0.9,1.50,3.84
2017,LAA,38,0,0,0,36.1,29,10,9,0,8,37,1,0,1,8,1,1.0,1.02,2.23
2017,ARI,26,0,0,0,18.2,19,10,10,4,1,15,2,1,1,10,1,0.1,1.07,4.82
2017,Total,64,0,0,0,55.0,48,20,19,4,9,52,3,1,2,18,2,1.0,1.04,3.11
2018,CIN,12,0,0,0,15.0,12,4,4,0,7,15,1,0,0,5,1,0.4,1.27,2.40
