SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2008,TB,5,1,0,0,14.0,9,4,3,1,4,12,0,0,0,1,0,0.4,0.93,1.93
2009,TB,23,23,0,0,128.1,119,72,63,17,54,102,10,7,0,0,0,0.7,1.35,4.42
2010,TB,32,31,2,1,208.2,170,71,63,15,79,188,19,6,0,0,0,4.4,1.19,2.72
2011,TB,34,34,0,0,224.1,192,93,87,22,63,218,12,13,0,0,0,2.4,1.14,3.49
2012,TB,31,31,2,1,211.0,173,63,60,16,59,205,20,5,0,0,0,6.4,1.10,2.56
2013,TB,27,27,4,0,186.2,178,78,69,16,27,151,10,8,0,0,0,2.8,1.10,3.33
2014,DET,11,11,1,0,77.2,74,32,31,5,15,82,4,4,0,0,0,1.9,1.15,3.59
2014,TB,23,23,2,0,170.2,156,68,59,20,23,189,11,8,0,0,0,2.7,1.05,3.11
2014,Total,34,34,3,0,248.1,230,100,90,25,38,271,15,12,0,0,0,4.6,1.08,3.26
2015,DET,21,21,3,1,146.0,133,50,41,13,29,138,9,4,0,0,0,3.6,1.11,2.53
2015,TOR,11,11,0,0,74.1,57,20,19,4,18,87,9,1,0,0,0,2.4,1.01,2.30
2015,Total,32,32,3,1,220.1,190,70,60,17,47,225,18,5,0,0,0,6.0,1.08,2.45
2016,BOS,35,35,2,0,230.0,227,106,102,30,50,228,17,9,0,0,0,3.0,1.20,3.99
2017,BOS,16,11,0,0,74.2,65,30,28,8,24,76,6,3,0,1,0,1.7,1.19,3.38
2018,BOS,10,10,1,0,57.1,49,29,26,6,22,55,4,4,0,0,0,0.9,1.24,4.08
