YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2004,NYM,69,263,41,77,17,1,14,40,14,40,6,0,.293,.332,.525,.857,2.0
2005,NYM,160,575,99,176,42,1,27,102,72,113,17,7,.306,.388,.523,.911,4.5
2006,NYM,154,582,96,181,40,5,26,116,66,113,20,5,.311,.381,.531,.912,3.8
2007,NYM,160,604,113,196,42,1,30,107,94,115,34,5,.325,.416,.546,.962,8.1
2008,NYM,160,626,115,189,42,2,33,124,94,118,15,5,.302,.390,.534,.924,6.7
2009,NYM,144,535,88,164,39,3,10,72,74,140,27,9,.307,.390,.447,.837,2.9
2010,NYM,157,587,87,166,36,3,29,103,69,161,19,11,.283,.354,.503,.857,2.5
2011,NYM,102,389,60,99,23,1,14,61,52,97,13,2,.254,.345,.427,.772,1.9
2012,NYM,156,581,91,178,41,2,21,93,81,112,15,10,.306,.391,.492,.883,6.7
2013,NYM,112,430,63,132,23,6,18,58,55,79,17,3,.307,.390,.514,.904,5.9
2014,NYM,134,535,54,144,30,1,8,63,42,113,8,5,.269,.324,.374,.698,2.8
2015,NYM,38,152,24,44,7,0,5,17,22,36,2,1,.289,.379,.434,.813,0.5
2016,NYM,37,137,18,31,8,0,7,14,26,55,3,2,.226,.350,.438,.788,-0.2
