YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2008,MIN,93,347,70,102,16,7,6,47,50,60,18,7,.294,.387,.432,.819,4.2
2009,MIN,145,578,97,180,16,10,8,68,70,89,23,10,.311,.392,.415,.807,3.7
2010,MIN,153,629,85,166,24,10,3,58,60,74,26,4,.264,.331,.348,.679,1.5
2011,MIN,70,284,37,75,11,5,2,16,27,36,6,1,.264,.328,.359,.687,2.3
2012,MIN,128,516,71,146,38,4,4,41,47,62,17,6,.283,.342,.395,.737,4.8
2013,WSH,153,610,75,170,28,11,4,47,42,77,20,6,.279,.327,.380,.707,2.4
2014,WSH,147,610,94,184,39,8,5,37,50,65,31,7,.302,.355,.416,.771,3.6
2015,WSH,61,246,38,74,17,0,5,22,25,26,11,0,.301,.365,.431,.796,0.8
2016,SF,143,572,70,152,23,5,11,53,53,79,12,7,.266,.331,.381,.712,1.0
2017,SF,129,497,73,135,31,5,12,43,40,69,12,7,.272,.329,.427,.756,-1.1
2018,TB,43,143,27,34,7,1,4,28,28,24,6,2,.238,.364,.385,.749,1.0
