SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,TEX,33,21,1,1,138.1,160,98,94,26,47,107,8,13,0,2,1,-0.7,1.50,6.12
2010,TEX,14,10,0,0,57.1,55,30,26,6,24,54,3,4,0,1,0,0.5,1.38,4.08
2011,TEX,32,32,4,4,198.0,201,97,87,22,67,162,16,5,0,0,0,2.1,1.35,3.95
2012,TEX,29,27,0,0,175.1,162,100,91,32,52,145,12,7,0,0,0,1.7,1.22,4.67
2013,TEX,33,33,2,2,213.0,210,90,81,20,64,189,10,9,0,0,0,3.3,1.29,3.42
2014,TEX,6,5,0,0,37.0,34,8,6,0,5,25,2,0,0,0,0,1.5,1.05,1.46
2015,TEX,10,10,1,1,58.2,59,32,32,11,17,41,4,3,0,0,0,0.5,1.30,4.91
2016,TEX,22,20,0,0,107.1,116,62,59,15,35,67,7,9,0,0,0,0.8,1.41,4.95
2017,CHW,29,26,0,0,135.0,156,106,93,31,75,104,7,14,0,0,0,-1.7,1.71,6.20
2018,SF,9,9,0,0,47.1,40,28,26,8,20,42,2,5,0,0,0,-0.2,1.27,4.94
