YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2011,CIN,18,50,5,9,3,0,2,6,3,10,0,0,.180,.226,.360,.586,-0.3
2012,CIN,54,165,17,35,8,0,5,14,17,33,1,1,.212,.288,.352,.640,-0.5
2013,CIN,103,323,31,77,13,0,9,42,24,61,0,2,.238,.287,.362,.649,-0.0
2014,CIN,114,384,54,105,25,0,25,80,41,103,1,3,.273,.359,.534,.893,4.8
2015,CIN,23,45,2,8,1,1,0,2,5,9,1,0,.178,.275,.244,.519,-0.3
2016,CIN,16,50,2,7,1,0,0,1,5,10,0,1,.140,.218,.160,.378,-0.2
2017,CIN,56,141,17,30,5,1,6,14,18,38,1,0,.213,.321,.390,.711,0.1
2018,CIN,18,41,1,9,2,0,1,3,2,10,0,0,.220,.289,.341,.630,-0.0
2018,NYM,11,35,8,7,2,0,3,6,4,5,0,0,.200,.300,.514,.814,0.3
2018,Total,29,76,9,16,4,0,4,9,6,15,0,0,.211,.294,.421,.715,0.3
