YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2008,COL,13,26,3,4,0,0,0,0,0,5,0,1,.154,.185,.154,.339,-0.3
2009,COL,135,433,73,115,29,10,4,34,67,116,27,10,.266,.363,.406,.769,1.0
2010,COL,132,439,73,114,20,14,6,36,57,104,13,8,.260,.347,.410,.757,1.6
2011,COL,125,481,84,128,35,15,5,45,68,130,12,9,.266,.363,.432,.795,2.5
2012,COL,143,454,72,136,18,11,13,53,68,128,12,5,.300,.389,.474,.863,2.6
2013,COL,119,415,71,109,18,3,12,42,65,105,19,9,.263,.369,.407,.776,2.0
2014,HOU,116,434,61,120,21,4,8,35,66,108,11,4,.276,.375,.399,.774,1.7
2015,CHC,156,596,102,149,29,8,17,46,84,154,20,7,.250,.346,.411,.757,2.2
2016,CHC,125,456,84,126,25,7,13,48,79,124,13,4,.276,.393,.447,.840,4.3
2017,STL,118,420,68,111,22,9,18,64,63,101,7,3,.264,.363,.488,.851,1.6
2018,STL,41,148,22,23,4,0,5,18,23,35,3,2,.155,.274,.284,.558,-1.2
