SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,SEA,11,10,0,0,61.0,63,29,28,11,15,36,3,4,0,0,0,0.5,1.28,4.13
2010,SEA,28,28,0,0,171.0,187,85,78,13,32,93,6,14,0,0,0,1.0,1.28,4.11
2011,DET,11,10,0,0,70.1,54,19,14,4,5,57,8,1,0,0,0,2.4,0.84,1.79
2011,SEA,21,21,3,0,146.0,139,57,54,7,32,89,3,12,0,0,0,2.6,1.17,3.33
2011,Total,32,31,3,0,216.1,193,76,68,11,37,146,11,13,0,0,0,5.0,1.06,2.83
2012,DET,26,26,2,1,161.2,156,73,62,15,37,137,10,10,0,0,0,3.1,1.19,3.45
2013,DET,33,32,1,0,208.2,229,91,85,14,44,159,14,9,0,0,0,4.1,1.31,3.67
2014,WSH,25,25,1,1,164.0,153,52,44,18,24,98,16,6,0,0,0,4.5,1.08,2.41
2015,WSH,25,15,0,0,103.0,120,56,48,14,24,63,5,7,1,0,0,0.2,1.40,4.19
2016,HOU,32,32,0,0,180.1,195,98,93,24,62,115,12,13,0,0,0,0.0,1.43,4.64
2017,BOS,18,15,1,0,90.1,87,55,49,9,38,83,5,9,0,0,0,0.0,1.38,4.88
2018,TEX,9,9,0,0,49.0,57,30,23,9,16,35,1,4,0,0,0,0.5,1.49,4.22
