YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2010,MIN,49,142,12,28,6,1,2,13,4,25,0,0,.197,.237,.296,.533,0.1
2011,MIN,93,234,19,39,9,1,2,23,11,42,0,0,.167,.210,.239,.449,-1.6
2012,MIN,42,111,7,22,6,0,1,5,9,26,0,0,.198,.270,.279,.549,0.2
2013,MIN,2,3,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-0.1
2013,LAD,4,7,0,1,0,0,0,0,0,4,0,0,.143,.143,.143,.286,-0.1
2013,Total,6,10,0,1,0,0,0,0,0,5,0,0,.100,.100,.100,.200,-0.2
2014,LAD,61,170,16,32,6,1,3,14,17,41,0,0,.188,.267,.288,.555,-0.0
2015,LAA,10,21,3,4,0,0,0,0,0,2,0,1,.190,.190,.190,.380,-0.0
2015,KC,45,86,6,17,3,0,1,5,6,24,0,0,.198,.266,.267,.533,-0.3
2015,Total,55,107,9,21,3,0,1,5,6,26,0,1,.196,.252,.252,.504,-0.3
2016,KC,56,123,18,35,10,1,4,16,8,36,0,0,.285,.328,.480,.808,0.4
2017,KC,75,163,18,37,4,1,3,14,12,41,0,0,.227,.284,.319,.603,-0.4
2018,KC,24,68,4,12,4,0,0,9,9,19,0,0,.176,.278,.235,.513,-0.2
