SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2011,COL,4,4,0,0,18.1,19,11,11,0,5,13,2,1,0,0,0,-0.1,1.31,5.40
2012,COL,22,22,0,0,96.2,97,57,53,14,46,83,2,9,0,0,0,1.4,1.48,4.93
2013,COL,8,4,0,0,21.2,25,15,15,4,19,19,0,4,0,0,0,-0.1,2.03,6.23
2014,OAK,20,10,0,0,69.0,51,22,18,7,26,64,5,4,0,0,0,1.5,1.12,2.35
2015,OAK,53,9,0,0,86.0,71,44,35,8,31,82,5,6,3,12,3,0.4,1.19,3.66
2016,BOS,14,13,0,0,68.2,70,35,35,14,24,71,3,5,0,0,0,0.6,1.37,4.59
2016,SD,17,17,0,0,102.0,67,30,28,8,41,115,8,7,0,0,0,3.4,1.06,2.47
2016,Total,31,30,0,0,170.2,137,65,63,22,65,186,11,12,0,0,0,4.0,1.18,3.32
2017,BOS,32,32,0,0,173.2,166,69,64,19,69,174,17,6,0,0,0,4.0,1.35,3.32
2018,BOS,6,6,0,0,28.2,35,20,19,5,16,28,1,2,0,0,0,-0.0,1.78,5.97
