YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2011,CHW,9,7,0,2,0,0,0,0,0,1,0,0,.286,.286,.286,.572,0.0
2012,CHW,36,87,14,18,4,1,0,3,9,23,2,0,.207,.281,.276,.557,0.1
2012,MIN,14,44,4,10,0,0,0,6,2,8,1,0,.227,.271,.227,.498,0.2
2012,Total,50,131,18,28,4,1,0,9,11,31,3,0,.214,.278,.260,.538,0.3
2013,MIN,66,165,23,39,5,2,3,10,11,34,0,2,.236,.282,.345,.627,0.4
2014,MIN,133,433,52,119,35,2,6,37,24,93,1,1,.275,.315,.406,.721,1.1
2015,MIN,127,409,48,107,31,4,12,58,28,86,2,3,.262,.309,.445,.754,2.0
2016,MIN,105,352,32,83,14,2,6,37,21,72,1,3,.236,.280,.338,.618,-0.6
2017,MIN,129,457,62,116,16,5,21,73,33,98,5,1,.254,.309,.449,.758,1.3
2018,MIN,42,162,25,45,17,0,7,21,14,40,1,2,.278,.331,.512,.843,0.6
