YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2009,TEX,145,480,72,128,17,8,6,40,40,77,33,6,.267,.329,.373,.702,3.3
2010,TEX,148,588,88,156,15,3,0,35,64,96,32,15,.265,.342,.301,.643,0.9
2011,TEX,150,587,96,164,27,3,5,60,56,74,37,12,.279,.347,.361,.708,4.0
2012,TEX,158,629,85,180,31,9,3,62,57,96,21,10,.286,.349,.378,.727,3.4
2013,TEX,156,620,91,168,17,4,4,67,52,97,42,8,.271,.328,.331,.659,4.3
2014,TEX,157,619,72,163,35,1,2,41,46,96,27,15,.263,.314,.333,.647,1.0
2015,TEX,160,596,69,154,34,2,7,62,46,78,25,9,.258,.309,.357,.666,2.1
2016,TEX,147,506,75,153,31,7,8,69,47,70,24,8,.302,.362,.439,.801,3.7
2017,TEX,158,643,100,191,44,4,20,88,38,101,25,10,.297,.337,.471,.808,4.7
2018,TEX,14,52,7,17,3,0,2,5,8,2,0,1,.327,.426,.500,.926,0.6
