SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2005,LAA,23,23,1,1,133.2,139,73,69,17,47,99,12,8,0,0,0,0.6,1.39,4.65
2006,LAA,33,33,0,0,204.0,181,106,97,21,70,141,16,8,0,0,0,2.5,1.23,4.28
2007,LAA,28,26,0,0,150.0,174,103,96,26,58,126,7,14,0,0,0,-0.6,1.55,5.76
2008,LAA,32,32,2,1,219.0,198,89,85,23,47,214,16,7,0,0,0,4.8,1.12,3.49
2009,LAA,24,23,2,2,139.2,159,83,78,24,47,107,8,8,0,1,0,-0.3,1.47,5.03
2010,LAA,33,33,4,1,222.2,221,104,97,27,73,169,17,10,0,0,0,2.5,1.32,3.92
2011,LAA,33,33,4,1,228.2,207,95,86,26,72,178,11,12,0,0,0,2.7,1.22,3.38
2012,LAA,30,30,1,1,178.0,165,109,102,39,61,133,9,13,0,0,0,-1.5,1.27,5.16
2013,KC,32,32,0,0,211.0,190,85,76,26,51,161,9,10,0,0,0,2.9,1.14,3.24
2014,ATL,31,31,0,0,196.0,193,90,86,16,63,179,14,10,0,0,0,1.2,1.31,3.95
2015,MIN,17,17,0,0,108.0,104,50,48,12,36,82,7,5,0,0,0,1.6,1.30,4.00
2016,MIN,30,30,2,1,181.1,168,78,68,19,53,149,7,11,0,0,0,3.8,1.22,3.38
2017,MIN,33,33,5,3,211.1,177,85,77,31,61,167,16,8,0,0,0,4.6,1.13,3.28
