SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2005,SEA,12,12,0,0,84.1,61,26,25,5,23,77,4,4,0,0,0,2.6,1.00,2.67
2006,SEA,31,31,2,1,191.0,195,105,96,23,60,176,12,14,0,0,0,1.1,1.34,4.52
2007,SEA,30,30,1,1,190.1,209,88,83,20,53,165,14,7,0,0,0,3.7,1.38,3.92
2008,SEA,31,31,2,0,200.2,198,85,77,17,80,175,9,11,0,0,0,3.7,1.39,3.45
2009,SEA,34,34,2,1,238.2,200,81,66,15,71,217,19,5,0,0,0,5.6,1.14,2.49
2010,SEA,34,34,6,1,249.2,194,80,63,17,70,232,13,12,0,0,0,6.8,1.06,2.27
2011,SEA,33,33,5,0,233.2,218,99,90,19,67,222,14,14,0,0,0,3.4,1.22,3.47
2012,SEA,33,33,5,5,232.0,209,84,79,14,56,223,13,9,0,0,0,4.6,1.14,3.06
2013,SEA,31,31,0,0,204.1,185,74,69,15,46,216,12,10,0,0,0,5.2,1.13,3.04
2014,SEA,34,34,0,0,236.0,170,68,56,16,46,248,15,6,0,0,0,6.8,0.92,2.14
2015,SEA,31,31,2,2,201.2,180,80,79,23,58,191,18,9,0,0,0,4.4,1.18,3.53
2016,SEA,25,25,0,0,153.1,138,76,65,19,65,122,11,8,0,0,0,1.6,1.32,3.82
2017,SEA,16,16,0,0,86.2,86,46,42,17,26,78,6,5,0,0,0,0.8,1.29,4.36
2018,SEA,11,11,0,0,61.1,59,39,38,10,26,51,5,4,0,0,0,-0.2,1.39,5.58
