SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2002,DET,20,0,0,0,18.0,25,15,12,2,10,10,1,3,0,0,4,-0.4,1.94,6.00
2003,DET,27,0,0,0,29.2,35,20,20,2,17,33,1,3,3,3,3,-0.3,1.75,6.07
2005,DET,39,0,0,0,44.0,39,14,14,5,17,42,2,3,9,3,6,1.0,1.27,2.86
2006,DET,63,0,0,0,71.2,51,36,28,6,34,65,7,4,7,18,4,0.4,1.19,3.52
2007,DET,48,0,0,0,50.2,46,27,24,5,21,54,2,6,1,12,2,0.0,1.32,4.26
2008,DET,38,0,0,0,40.1,34,22,22,3,30,49,0,6,13,5,6,0.2,1.59,4.91
2009,DET,73,0,0,0,75.2,70,38,37,8,41,61,2,5,37,0,1,0.2,1.47,4.40
2010,LAA,72,0,0,0,68.0,70,33,32,4,35,53,4,3,14,21,7,0.0,1.54,4.24
2011,LAA,39,0,0,0,32.0,26,18,16,1,28,26,3,5,3,10,4,-0.4,1.69,4.50
2012,TB,76,0,0,0,74.2,43,9,5,2,15,76,2,2,48,0,2,3.7,0.78,0.60
2013,TB,68,0,0,0,66.2,53,27,25,3,36,82,5,4,37,0,8,0.5,1.34,3.38
2014,SEA,69,0,0,0,66.1,61,24,21,3,28,76,1,6,48,0,3,0.8,1.34,2.85
2015,SEA,54,0,0,0,50.2,51,32,32,8,25,43,5,5,16,7,6,-0.8,1.50,5.68
2015,CHC,14,0,0,0,12.0,8,4,1,1,4,15,2,0,0,2,1,0.2,1.00,0.75
2015,Total,68,0,0,0,62.2,59,36,33,9,29,58,7,5,16,9,7,-0.5,1.40,4.74
2016,SD,28,0,0,0,28.2,13,2,1,0,12,33,0,1,17,0,0,1.8,0.87,0.31
2016,MIA,39,0,0,0,36.2,41,25,24,5,25,41,2,3,8,8,3,-0.8,1.80,5.89
2016,Total,67,0,0,0,65.1,54,27,25,5,37,74,2,4,25,8,3,0.9,1.39,3.44
2017,ARI,61,0,0,0,55.1,40,29,26,3,26,65,5,4,39,0,6,0.4,1.19,4.23
2018,MIN,18,0,0,0,16.2,14,7,5,2,7,15,1,2,10,0,3,0.2,1.26,2.70
